id,name,is_active,input_cost_per_1m_tokens,output_cost_per_1m_tokens,context_window,created_at,updated_at,logo,provider,model_family,display_name
09f9bfc7-fe38-4a2b-b1d0-d476a94ef375,gemini-2.5-flash-lite,true,0.10,0.40,1048576,2025-10-02 16:17:32.781559+00,2025-10-02 16:17:32.781559+00,https://cdn.weweb.io/designs/c55504b2-3c64-44db-8bc0-db0aab821079/sections/gemini.svg?_wwcv=1760629101496,Google,gemini,Gemini
1e88239f-6b40-41b6-940b-334cc611d12f,gpt-5-nano,true,0.05,0.40,400000,2025-10-24 21:03:56.564047+00,2025-10-24 21:03:56.564047+00,https://cdn.weweb.io/designs/c55504b2-3c64-44db-8bc0-db0aab821079/sections/open_ai.svg?_wwcv=1760629101505,OpenAI,gpt,ChatGPT
460b01ff-0527-4097-81ad-5891a4267367,gpt-4o,false,2.50,10.00,128000,2025-10-24 21:40:42.72929+00,2025-10-24 21:40:42.72929+00,https://cdn.weweb.io/designs/c55504b2-3c64-44db-8bc0-db0aab821079/sections/open_ai.svg?_wwcv=1760629101505,OpenAI,gpt,
5d582ad7-189e-482e-9234-b6ea4e3459ed,claude-sonnet-4-5,false,3.00,15.00,200000,2025-10-23 14:37:50.42263+00,2025-10-23 14:37:50.42263+00,,Anthropic,claude,
605bc204-6b6d-45c3-b19a-fd55bc692acd,gpt-5-chat,false,1.25,10.00,128000,2025-10-24 21:21:40.936968+00,2025-10-24 21:21:40.936968+00,https://cdn.weweb.io/designs/c55504b2-3c64-44db-8bc0-db0aab821079/sections/open_ai.svg?_wwcv=1760629101505,OpenAI,gpt,
6499124b-29c2-4bc3-a893-3a9d33409b58,gemini-2.5-pro,false,1.25,10.00,1048576,2025-10-23 14:35:32.753878+00,2025-10-23 14:35:32.753878+00,https://cdn.weweb.io/designs/c55504b2-3c64-44db-8bc0-db0aab821079/sections/gemini.svg?_wwcv=1760629101496,Google,gemini,
67617c29-f772-4261-ab8b-0ff1755fbff0,gpt-5,false,1.25,10.00,400000,2025-10-23 14:31:16.745189+00,2025-10-23 14:31:16.745189+00,https://cdn.weweb.io/designs/c55504b2-3c64-44db-8bc0-db0aab821079/sections/open_ai.svg?_wwcv=1760629101505,"OpenAI
",gpt,
d59e8794-218f-440f-a4fe-e15625fc4373,claude-haiku-4-5,false,1.00,5.00,200000,2025-10-23 14:38:13.485222+00,2025-10-23 14:38:13.485222+00,,Anthropic,claude,
d991cc93-ddef-4332-a375-851ae471296d,mistral-small-latest,true,0.10,0.30,400000,2025-10-02 16:17:32.781559+00,2025-10-02 16:17:32.781559+00,https://cdn.weweb.io/designs/c55504b2-3c64-44db-8bc0-db0aab821079/sections/mistral.svg?_wwcv=1760629101503,Mistral AI,mistral,LeChat
ebbb2b50-2907-4af4-907d-6750c89e774a,gpt-5-mini,false,0.25,2.00,400000,2025-10-02 16:17:32.781559+00,2025-10-02 16:17:32.781559+00,https://cdn.weweb.io/designs/c55504b2-3c64-44db-8bc0-db0aab821079/sections/open_ai.svg?_wwcv=1760629101505,OpenAI,gpt,
f9cd693d-adcd-4190-8800-087160681345,gemini-2.5-flash,false,0.30,2.50,1048576,2025-10-23 20:02:44.708936+00,2025-10-23 20:02:44.708936+00,https://cdn.weweb.io/designs/c55504b2-3c64-44db-8bc0-db0aab821079/sections/gemini.svg?_wwcv=1760629101496,Google,gemini,
